Ensembl_ID,Gene_name,Ensembl_description,Ext_ref_description,Biotype,URL
ENSG00000258148,,GABA(A) receptor-associated protein (GABARAP) pseudogene,,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000258148
ENSG00000262471,,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) (DBI) pseudogene",,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000262471
ENSG00000270708,,GABA(A) receptor-associated protein-like 2 (GABARAPL2) pseudogene,,processed_pseudogene,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000270708
ENSG00000276523,,"novel transcript, antisense to GABARAPL2",,lncRNA,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000276523
ENSG00000279980,GABARAPL3,GABA type A receptor associated protein like 3 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:23766],GABA type A receptor associated protein like 3 pseudogene,TEC,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000279980
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588],glutamate ionotropic receptor NMDA type subunit 2D,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000105464
ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768],glutamate ionotropic receptor NMDA type subunit 3B,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000116032
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587],glutamate ionotropic receptor NMDA type subunit 2C,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000161509
ENSG00000165802,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843],NMDA receptor synaptonuclear signaling and neuronal migration factor,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000165802
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584],glutamate ionotropic receptor NMDA type subunit 1,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000176884
ENSG00000178719,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589],glutamate ionotropic receptor NMDA type subunit associated protein 1,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000178719
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585],glutamate ionotropic receptor NMDA type subunit 2A,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000183454
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767],glutamate ionotropic receptor NMDA type subunit 3A,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000198785
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586],glutamate ionotropic receptor NMDA type subunit 2B,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000273079
ENSG00000100528,CNIH1,cornichon family AMPA receptor auxiliary protein 1 [Source:HGNC Symbol;Acc:HGNC:19431],cornichon family AMPA receptor auxiliary protein 1,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000100528
ENSG00000120251,GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572],glutamate ionotropic receptor AMPA type subunit 2,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000120251
ENSG00000125675,GRIA3,glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573],glutamate ionotropic receptor AMPA type subunit 3,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000125675
ENSG00000143771,CNIH4,cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013],cornichon family AMPA receptor auxiliary protein 4,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000143771
ENSG00000143786,CNIH3,cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802],cornichon family AMPA receptor auxiliary protein 3,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000143786
ENSG00000152578,GRIA4,glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574],glutamate ionotropic receptor AMPA type subunit 4,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000152578
ENSG00000155511,GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571],glutamate ionotropic receptor AMPA type subunit 1,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000155511
ENSG00000174871,CNIH2,cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744],cornichon family AMPA receptor auxiliary protein 2,protein_coding,https://uswest.ensembl.org/homo_sapiens/Gene/Summary?g=ENSG00000174871
